Version;TopDUAsStatus;DUAMaxFdp;NodeMaxFdp;EdgeMaxFdp;topDUANodeSubsumption;topDUAEdgeSubsumption;
JacksonDatabind-82b;clear;0.1667;0.0;0.0;True;True;
JacksonDatabind-83b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-84b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-85b;clear;0.5;0.0;0.0;False;True;
JacksonDatabind-86b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-87b;clear;1.0;0.0;0.0;False;True;
JacksonDatabind-88b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-89b;clear;0.5;0.0;0.0;False;False;
JacksonDatabind-90b;clear;0.1667;0.0;0.0;True;True;
JacksonDatabind-91b;clear;0.3333;0.0;0.0;False;False;
JacksonDatabind-92b;clear;0.5;0.0;0.0;False;True;
JacksonDatabind-93b;clear;0.0909;0.0;0.0;False;False;
JacksonDatabind-94b;clear;0.3333;0.0;0.0;False;True;
JacksonDatabind-96b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-97b;clear;0.5;0.0;0.0;False;True;
JacksonDatabind-98b;clear;1.0;0.0;0.0;False;True;
JacksonDatabind-99b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-100b;clear;0.25;0.0;0.0;True;True;
JacksonDatabind-101b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-102b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-103b;clear;0.3333;0.0;0.0;True;True;
JacksonDatabind-104b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-105b;clear;0.25;0.0;0.0;False;True;
JacksonDatabind-106b;clear;0.5;0.0;0.0;False;False;
JacksonDatabind-107b;clear;1.0;0.0;0.0;True;True;
JacksonDatabind-108b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-109b;notclear;1.0;0.0;0.0;True;True;
JacksonDatabind-110b;clear;0.5;0.0;0.0;True;True;
JacksonDatabind-111b;clear;0.1667;0.0;0.0;True;True;
